site,plotID,subplotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded,turnover,nestedness,monthyear
BONA,BONA_018,plot,2017,0,0,0,1.508127673196692,0.07181560348555675,21,1.508127673196692,0.07181560348555675,21,0,0,0,1,0,0,51.875,0,0,1,51.875,1.508127673196692,0.07181560348555675,21,1.235084317595899,0.10292369313299159,12,plot,not_invaded,0.6590909090909091,0.07890035728463675,2017-08
BONA,BONA_018,plot,2018,0,0,0,1.0044964725511252,0.08370803937926043,12,1.0044964725511252,0.08370803937926043,12,0,0,0,1,0,0,39.125,0,0,1,39.125,1.0044964725511252,0.08370803937926043,12,0.8816505460627949,0.097961171784755,9,plot,not_invaded,0.6666666666666666,0.12564102564102564,2018-07
BONA,BONA_019,plot,2017,0,0,0,1.9535635380547516,0.10853130766970842,18,1.9535635380547516,0.10853130766970842,18,0,0,0,1,0,0,24.916666666666668,0,0,1,24.916666666666668,1.9535635380547516,0.10853130766970842,18,1.4972327123810352,0.11517174710623347,13,plot,not_invaded,0.5038167938931297,0.07134660479968069,2017-08
BONA,BONA_019,plot,2018,0,0,0,1.8539424610508128,0.14261095854237021,13,1.8539424610508128,0.14261095854237021,13,0,0,0,1,0,0,26,0,0,1,26,1.8539424610508128,0.14261095854237021,13,1.4319139434311177,0.15910154927012418,9,plot,not_invaded,0.5333333333333333,0.19215686274509805,2018-07
BONA,BONA_020,plot,2017,0,0,0,2.125147127995596,0.1062573563997798,20,2.125147127995596,0.1062573563997798,20,0,0,0,1,0,0,28.416666666666668,0,0,1,28.416666666666668,2.125147127995596,0.1062573563997798,20,1.2786387894970845,0.11623988995428042,11,plot,not_invaded,0.5,0.16666666666666666,2017-08
BONA,BONA_020,plot,2018,0,0,0,1.9533175540248064,0.19533175540248066,10,1.9533175540248064,0.19533175540248066,10,0,0,0,1,0,0,21.625,0,0,1,21.625,1.9533175540248064,0.19533175540248066,10,1.1476537350003462,0.1912756225000577,6,plot,not_invaded,0.38235294117647056,0.2358288770053476,2018-07
BONA,BONA_021,plot,2017,0,0,0,1.3915516960340875,0.06626436647781368,21,1.304388707150849,0.06865203721846574,19,0,0,1,0.9888268156424581,0.0111731843575419,0,47.9375,0.5416666666666666,0,1,48.9375,1.3915516960340875,0.06626436647781368,21,1.3200048497089265,0.09428606069349475,14,plot,not_invaded,0.618421052631579,0.08414304993252363,2017-08
BONA,BONA_021,plot,2018,0,0,0,1.3059352835183882,0.04836797346364401,27,1.262376748656555,0.05259903119402312,24,0.5982695885852573,0.2991347942926286,2,0.9975026757046022,0.002497324295397788,0,58.25,0.14583333333333331,0,1,58.729166666666664,1.3059352835183882,0.04836797346364401,27,1.243376712503625,0.082891780833575,15,plot,not_invaded,0.6820809248554913,0.08486822768688156,2018-07
BONA,BONA_022,plot,2017,0,0,0,1.804560119845701,0.08202545999298641,22,1.8000040575726368,0.08571447893203032,21,0,0,1,0.9992942836979535,7.057163020465773e-4,0,59,0.041666666666666664,0,1,59.041666666666664,1.804560119845701,0.08202545999298641,22,1.3305612909237525,0.13305612909237524,10,plot,not_invaded,0.5578231292517006,0.11054421768707484,2017-08
BONA,BONA_023,plot,2017,0,0,1,1.769026344120688,0.0884513172060344,20,1.7595377046950378,0.0926072476155283,19,0,0,0,0.9776951672862454,0,0.022304832713754646,49.3125,0,1.125,0.9777319587628865,49.395833333333336,1.836372890932245,0.08744632813963071,21,1.6386030333748862,0.14896391212498966,11,plot,invaded,0.7281553398058253,0.04873709047305922,2017-08
BONA,BONA_023,plot,2018,0,0,0,1.809033058115122,0.12060220387434147,15,1.809033058115122,0.12060220387434147,15,0,0,0,1,0,0,39.75,0,0,1,39.75,1.809033058115122,0.12060220387434147,15,1.6350354595460983,0.16350354595460984,10,plot,not_invaded,0.7350427350427351,0.10433550329923387,2018-07
BONA,BONA_024,plot,2017,0,0,0,1.9590426031373263,0.0753477924283587,26,1.9590426031373263,0.0753477924283587,26,0,0,0,1,0,0,38.270833333333336,0,0,1,38.270833333333336,1.9590426031373263,0.0753477924283587,26,1.4509972279424959,0.11161517138019199,13,plot,not_invaded,0.6321243523316062,0.07807972930104683,2017-08
BONA,BONA_024,plot,2018,0,0,0,1.6356995049772118,0.14869995499792835,11,1.6356995049772118,0.14869995499792835,11,0,0,0,1,0,0,40.375,0,0,1,40.375,1.6356995049772118,0.14869995499792835,11,1.216088096990807,0.15201101212385087,8,plot,not_invaded,0.7761194029850746,0.05438907159119656,2018-07
BONA,BONA_025,plot,2017,0,0,0,0.8049324410937327,0.042364865320722776,19,0.7524243855605992,0.041801354753366625,18,0,0,0,1,0,0,67.04166666666667,0,0,1,67.79166666666667,0.8049324410937327,0.042364865320722776,19,0.6525450819996116,0.05932228018178287,11,plot,not_invaded,0.6623376623376623,0.06823228584886616,2017-08
BONA,BONA_025,plot,2018,0,0,0,0.8676610824834597,0.08676610824834598,10,0.8261543194415542,0.09179492438239491,9,0,0,0,1,0,0,51.75,0,0,1,52.1875,0.8676610824834597,0.08676610824834598,10,0.7720839084613127,0.11029770120875895,7,plot,not_invaded,0.6764705882352942,0.15429864253393666,2018-07
BONA,BONA_026,plot,2017,0,0,0,2.0195087651559747,0.10097543825779873,20,2.0195087651559747,0.10097543825779873,20,0,0,0,1,0,0,29.729166666666668,0,0,1,29.729166666666668,2.0195087651559747,0.10097543825779873,20,1.4794397731267606,0.12328664776056338,12,plot,not_invaded,0.6923076923076923,0.07354596622889306,2017-08
BONA,BONA_026,plot,2018,0,0,0,2.111575638450371,0.10557878192251854,20,2.111575638450371,0.10557878192251854,20,0,0,0,1,0,0,22.9375,0,0,1,22.9375,2.111575638450371,0.10557878192251854,20,1.5417111922888846,0.11859316863760651,13,plot,not_invaded,0.6713286713286714,0.09009264846828298,2018-07
BONA,BONA_027,plot,2017,0,0,0,1.7089253300642995,0.0949402961146833,18,1.7089253300642995,0.0949402961146833,18,0,0,0,1,0,0,16.729166666666668,0,0,1,16.729166666666668,1.7089253300642995,0.0949402961146833,18,1.4160608258092624,0.11800506881743854,12,plot,not_invaded,0.6106870229007634,0.13173721952347905,2017-08
BONA,BONA_027,plot,2018,0,0,0,1.6531278575001533,0.16531278575001535,10,1.6531278575001533,0.16531278575001535,10,0,0,0,1,0,0,11.0625,0,0,1,11.0625,1.6531278575001533,0.16531278575001535,10,1.4236130320046572,0.17795162900058215,8,plot,not_invaded,0.7397260273972602,0.09360730593607305,2018-07
