Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
ACQU,NA,Acisanthera quadrata Pers.,dustseed,Forb/herb,Acisanthera,quadrata,Acisanthera_quadrata
ACAC,NA,Acleisanthes acutifolia Standl.,needletip trumpets,Forb/herb,Acleisanthes,acutifolia,Acleisanthes_acutifolia
ACAN2,NA,Acleisanthes anisophylla A. Gray,obliqueleaf trumpets,Forb/herb,Acleisanthes,anisophylla,Acleisanthes_anisophylla
ACCR,NA,Acleisanthes crassifolia A. Gray,Texas trumpets,Forb/herb,Acleisanthes,crassifolia,Acleisanthes_crassifolia
ACLO2,NA,Acleisanthes longiflora A. Gray,angel's trumpets,Forb/herb,Acleisanthes,longiflora,Acleisanthes_longiflora
ACOB2,ACGR8,Acleisanthes greggii Standl.,NA,Forb/herb,Acleisanthes,greggii,Acleisanthes_greggii
ACOB2,ACBE4,Acleisanthes berlandieri A. Gray,NA,Forb/herb,Acleisanthes,berlandieri,Acleisanthes_berlandieri
ACOB2,NA,Acleisanthes obtusa (Choisy) Standl.,Berlandier's trumpets,Forb/herb,Acleisanthes,obtusa,Acleisanthes_obtusa
ACWR3,NA,Acleisanthes wrightii (A. Gray) Benth. & Hook. f. ex Hemsl.,Wright's trumpets,Forb/herb,Acleisanthes,wrightii,Acleisanthes_wrightii
ACDE5,NA,Acmella decumbens (Sm.) R.K. Jansen,creeping spotflower,Forb/herb,Acmella,decumbens,Acmella_decumbens
ACDE5,SPAMS,Spilanthes americana (Mutis ex L. f.) Hieron. var. stolonifera (DC.) A.H. Moore,NA,Forb/herb,Spilanthes,americana,Spilanthes_americana
ACDE5,SPST4,Spilanthes stolonifera DC.,NA,Forb/herb,Spilanthes,stolonifera,Spilanthes_stolonifera
ACGR17,NA,Acmella grandiflora (Turcz.) R.K. Jansen,NA,Forb/herb,Acmella,grandiflora,Acmella_grandiflora
